Jugador,Jugador1,Jugador2,Jugador3,Jugador4,Jugador5,Jugador6,Jugador7,Jugador8,Jugador9,Jugador10,Jugador11,,,,
Jugador1,0,1,1,0,0,0,0,0,0,0,0,,,,
Jugador2,1,0,0,0,1,0,0,0,0,0,0,,,,
Jugador3,1,0,0,0,0,1,0,0,0,0,0,,,,
Jugador4,0,0,0,0,0,0,1,0,0,0,0,,,,
Jugador5,0,1,0,0,0,0,0,1,0,0,0,,,,
Jugador6,0,0,1,0,0,0,0,0,1,0,0,,,,
Jugador7,0,0,0,1,0,0,0,0,0,1,0,,,,
Jugador8,0,0,0,0,1,0,0,0,0,0,1,,,,
Jugador9,0,0,0,0,0,1,0,0,0,0,0,,,,
Jugador10,0,0,0,0,0,0,1,0,0,0,0,,,,
Jugador11,0,0,0,0,0,0,0,1,0,0,0,,,,
